"RA","Dec"
12.8079466751452,-34.0415904616558
12.7831777385283,-34.0495473349402
12.7670770024823,-34.0649366696386
12.7599021107783,-34.0757610555881
12.7652825611636,-34.0986212005406
12.7754591790667,-34.11327664894
12.7915729794916,-34.124084445202
12.7886075728582,-34.1296829907285
12.7664628878019,-34.1273662408748
12.7472632573874,-34.1201787884075
12.7328423012578,-34.1108339952082
12.7213439888796,-34.0923996826255
12.7211274342094,-34.0707418456473
12.7268365677775,-34.05528742605
12.7376684338986,-34.0446640123143
12.75618190299,-34.0336280189763
12.7729558841024,-34.0297725459863
12.7933640732484,-34.0305128015403
12.8067077217364,-34.0375334091509
